"a aquele", "para isso"
"Aarão", "(Antigo Testamento) irmão mais velho de Moisés e primeiro sumo sacerdote dos israelitas, criou o bezerro de ouro"
"abacate", "Uma fruta tropical em forma de pêra com pele verde ou enegrecida e polpa amarelada rica que envolve uma única semente grande"
"abacateiro", "Uma fruta tropical em forma de pêra com pele verde ou enegrecida e polpa amarelada rica que envolve uma única semente grande"
"abacaxi", "grandes frutas tropicais carnudas e carnudas com um tufo terminal de folhas rígidas, amplamente cultivado"
"abacial", "de ou ter a ver com ou pertencer a uma abadia ou abade, ou abadessa"
"ábaco", "Uma calculadora que desempenha funções aritméticas por contadores deslizantes manualmente em hastes ou em ranhuras"
"abade", "o superior de uma abadia de monges"
"abader", "um mosteiro governado por um abade"
"abadessar", "o superior de um grupo de freiras"
"abafar", "falta de ar fresco"
"abafar", "ser asfixiado, morrer por falta de oxigênio"
"abaixar", "causa para sentir vergonha, prejudicar o orgulho de"
"abaixo", "espacialmente ou metaforicamente de um nível ou posição mais alto"
"abalar", "mover ou fazer se mover com um movimento repentino de brilho"
"abalo", "qualquer sentimento forte"
"abanar", "Agite o ar"
"abandonar", "abandonado por proprietário ou habitantes"
"abandonar", "pare de perseguir ou atuar"
"abandono", "o ato de desistir de algo"
"abar", "o limite externo de um objeto ou área ou superfície, um lugar mais distante do centro de algo"
"abarcar", "incluir no escopo, incluir como parte de algo mais amplo, tem como esfera ou território"
"abarrotar", "Preencha um espaço de maneira desordenada"
"abastecer", "devolver"
"abastecimento", "a atividade de fornecer ou fornecer algo"
"abatar", "O trabalho de cortar árvores para madeira"
"abatedouro", "um edifício onde os animais são massacrados"
"abater", "fazer cair ou como se estivesse dando um golpe"
"abatimento", "o ato de fazer se tornar menos"
"abdicação", "o ato de abdicar"
"abdicar", "desistir, como poder, como monarcas e imperadores, ou deveres e obrigações"
"abdome", "a região do corpo de um vertebrado entre o tórax e a pelve"
"abdominal", "Tendo uma barriga grande"
"Abel", "Matemático norueguês (1802-1829)"
"abelardo", "Filósofo e teólogo francês, Amante de Heloise (1079-1142)"
"abelha", "qualquer um dos numerosos insetos de corpo peludo, incluindo espécies sociais e solitárias"
"abelheiro", "um fazendeiro que mantém as abelhas para o seu mel"
"abençoar", "Aproveitando a felicidade do céu"
"abençoar", "dar uma bênção para"
"aberração", "um estado ou condição acentuadamente diferente da norma"
'"abertamente", "inconfundivelmente (`simples ''é frequentemente usado informalmente para'' claramente '')"'
"abertura", "tornando-se aberto ou sendo aberto"
"abeto", "Verdadeiro Firs"
"abismal", "muito bom, ilimitado"
"abismo", "um golfo ou poço sem fundo, Qualquer cavidade insondável (ou aparentemente insondável) ou abismo ou vazio que se estende abaixo (frequentemente usado figurativamente)"
"abissínia", "A Etiópia é uma república no nordeste da África no Mar Vermelho, anteriormente chamado Abyssinia"
"Abissínia", "A Etiópia é uma república no nordeste da África no Mar Vermelho, anteriormente chamado Abyssinia"
"abjeto", "mais infeliz ou miserável"
"abjuração", "uma negação ou retomando uma afirmação anterior"
"abjurar", "rejeitar ou rejeitar formalmente uma crença anteriormente mantida, geralmente sob pressão"
"ablação", "Remoção cirúrgica de uma parte ou tecido do corpo"
"ablativo", "tendendo a ablatar, ou seja, ser removido ou vaporizado a temperaturas muito altas"
"ablução", "o ato de se lavar (ou outra pessoa)"
"abnegação", "renúncia de seus próprios interesses em favor dos interesses de outros"
"abnegar", "negar ou renunciar"
"abóbar", "um tijolo em arco ou teto de pedra ou teto"
"abóbor", "fruto comestível de uma planta de abóbora, Comido como vegetal"
"aboboreira", "Normalmente, grande e amarelo-amarelo frutos redondos da família de abóbora amadurecem no final do verão ou no início do outono"
"abobrinhar", "medula vegetal em forma de pepino pequeno, normalmente verde escuro"
"abolição", "O ato de abolir um sistema ou prática ou instituição (especialmente abolindo a escravidão)"
"abolicionismo", "a doutrina que exige a abolição da escravidão"
"abolicionistar", "um reformador que favorece abolir a escravidão"
"abolir", "acabar com"
"abominação", "fortes sentimentos de aversão"
"abominar", "amaldiçoar ou declarar ser mau ou anátema ou ameaçar com punição divina"
"abominável", "provocador horror"
"abordagem", "idéias ou ações destinadas a lidar com um problema ou situação"
"abordagem", "uma maneira de entrar ou sair"
"abordar", "abordagem com uma oferta de favores sexuais"
"aborígene", "característica de ou relacionada a pessoas que habitam uma região desde o início"
"aborígine", "de ou pertencente a membros do povo indígena da Austrália"
"aborrecer", "irritar continuamente ou cronicamente"
"aborrecer", "portanto, falta de interesse, a ponto de causar cansaço mental"
"aborrecimentar", "a sensação de ficar entediado por algo tedioso"
"aborrecir", "desinteressado devido a exposição ou indulgência frequente"
"abortar", "não conseguir realizar um resultado pretendido"
"abortar", "Sofra um aborto espontâneo"
"abortivo", "não conseguir realizar um resultado pretendido"
"aborto", "o ato de encerrar um projeto ou procedimento antes de ser concluído"
"abotoadurar", "jóias que consistem em um de um par de botões vinculados usados ​​para prender os punhos de uma camisa"
"abotoar", "Aperte com botões"
"abra", "um porto protegido onde os navios podem assumir ou descarregar carga"
"Abraão", "o primeiro dos patriarcas do Antigo Testamento e o pai de Isaac, Segundo Gênesis, Deus prometeu dar à família de Abraão (os hebreus) a terra de Canaã (a terra prometida), Deus testou Abraão, pedindo que ele sacrifique seu filho"
"abracadabrar", "bobagem e bobagem"
"abraçadeiro", "um apoio que firma ou fortalece outra coisa"
"abraçar", "o ato de apertar outra pessoa nos braços (como em saudação ou carinho)"
"abraçar", "Pegue a causa, ideologia, prática, método, de alguém e use-a como sua própria"
"abrandar", "tornar macio ou mais macio"
"abrangente", "incluindo tudo ou tudo"
"abranger", "incluir ou conter, tem como componente"
"abrasão", "O desgaste das partículas de rocha por atrito devido a água ou vento ou gelo"
"abrasivo", "causando abrasão"
"abreviação", "encurtar algo omitindo partes dele"
"abreviação", "uma forma reduzida de uma palavra ou frase"
"abreviar", "(usado em textos) reduzido por condensação ou reescrita"
"abreviar", "editar omitindo ou modificando peças consideradas indelicadas"
"abreviaturo", "ato de diminuir em comprimento"
"abricó", "frutas amarelas a rosas, parecidas com um pequeno pêssego"
"Abridor", "o primeiro evento em uma série"
"abrigar", "fornecer abrigo para"
"abrigo", "estruturas coletivamente nas quais as pessoas estão alojadas"
"abrigo", "estruturas coletivamente nas quais as pessoas estão alojadas"
"abril", "o mês seguinte em março e anterior podem"
"abrir", "pronto para negócios"
"abrir", "tornar-se desbloqueado"
"abrochar", "Segure firmemente e firmemente"
